id,actor_id,actor_name
1,69899,Zachary Levi
2,2983,Mark Strong
3,1768966,Asher Angel
4,60073,Brie Larson
5,2231,Samuel L. Jackson
6,77335,Ben Mendelsohn
7,10859,Ryan Reynolds
8,1029934,Justice Smith
9,221192,Kathryn Newton
10,2101716,So Okuno
11,1864577,Atsuhiro Inukai
12,2065347,Gaku Oshida
13,1241939,Wasabi Mizuta
14,932986,Megumi Oohara
15,9715,Yumi Kakazu
16,35029,David Harbour
17,63,Milla Jovovich
18,6972,Ian McShane
19,1473995,Darren Wang
20,1574909,Jelly Lin
21,2238409,Li-Tung Chang
22,3896,Liam Neeson
23,4784,Laura Dern
24,2202462,Micheál Richardson
25,5530,James McAvoy
26,62,Bruce Willis
27,2231,Samuel L. Jackson
28,1753914,Josephine Langford
29,1114487,Hero Fiennes Tiffin
30,11826,Selma Blair
31,3223,Robert Downey Jr.
32,74568,Chris Hemsworth
33,16828,Chris Evans
34,1407498,Marsai Martin
35,1455336,Issa Rae
36,35705,Regina Hall
37,40036,Taraji P. Henson
38,56903,Tracy Morgan
39,83860,Aldis Hodge
40,76512,Jason Clarke
41,139150,Amy Seimetz
42,12074,John Lithgow
43,449,Jay Baruchel
44,59174,America Ferrera
45,1164,F. Murray Abraham
46,68470,Minami Takayama
47,87582,Wakana Yamazaki
48,237076,Rikiya Koyama
49,172069,Chadwick Boseman
50,135651,Michael B. Jordan
51,1267329,Lupita Nyong'o
52,3223,Robert Downey Jr.
53,16828,Chris Evans
54,74568,Chris Hemsworth
55,887,Owen Wilson
56,3636,Paul Newman
57,5149,Bonnie Hunt
58,1373737,Florence Pugh
59,17286,Lena Headey
60,11109,Nick Frost
61,72466,Colin Farrell
62,2232,Michael Keaton
63,518,Danny DeVito
64,73457,Chris Pratt
65,8691,Zoe Saldana
66,543530,Dave Bautista
67,1817,Linda Cardellini
68,58650,Raymond Cruz
69,1538713,Marisol Ramirez
70,73457,Chris Pratt
71,8691,Zoe Saldana
72,543530,Dave Bautista
73,587506,Shameik Moore
74,543505,Jake Johnson
75,130640,Hailee Steinfeld
76,221809,Taylor Schilling
77,1649803,Jackson Robert Scott
78,10132,Colm Feore
79,74568,Chris Hemsworth
80,91606,Tom Hiddleston
81,112,Cate Blanchett
82,9281,Elizabeth Banks
83,62562,David Denman
84,449513,Meredith Hagner
85,80473,Oris Erhuero
86,20498,Carlos Gallardo
87,81671,Mark Strange
88,29222,Zac Efron
89,112561,Lily Collins
90,115150,Kaya Scodelario
91,6968,Hugh Jackman
92,2387,Patrick Stewart
93,1464650,Dafne Keen
94,1353827,Taylor Russell
95,116088,Logan Miller
96,151680,Jay Ellis
97,22226,Paul Rudd
98,19034,Evangeline Lilly
99,454,Michael Peña
100,1267329,Lupita Nyong'o
101,1447932,Winston Duke
102,2201802,Evan Alex
103,1269,Kevin Costner
104,57755,Woody Harrelson
105,8534,Kathy Bates
106,82056,Noriaki Sugiyama
107,114904,Noriko Shitaya
108,151183,Ayako Kawasumi
109,180486,Gina Rodriguez
110,1100144,Ismael Cruz Córdova
111,53650,Anthony Mackie
112,78871,Wu Jing
113,2082186,Qu Chuxiao
114,2113005,Zhao Jinmai
115,3223,Robert Downey Jr.
116,16828,Chris Evans
117,74568,Chris Hemsworth
118,130640,Hailee Steinfeld
119,1563266,Jorge Lendeborg Jr.
120,56446,John Cena
121,117642,Jason Momoa
122,55085,Amber Heard
123,5293,Willem Dafoe
124,1646,Udo Kier
125,6674,Julia Dietze
126,78021,Lloyd Kaufman
127,973667,Rosa Salazar
128,27319,Christoph Waltz
129,932967,Mahershala Ali
130,13240,Mark Wahlberg
131,9827,Rose Byrne
132,1428070,Isabela Moner
133,6384,Keanu Reeves
134,6283,Michael Nyqvist
135,71586,Alfie Allen
136,1427680,Jessica Rothe
137,969140,Israel Broussard
138,1542831,Phi Vu
139,3292,Nicholas Hoult
140,112561,Lily Collins
141,139654,Genevieve O'Reilly
142,3223,Robert Downey Jr.
143,18288,Terrence Howard
144,1229,Jeff Bridges
145,74568,Chris Hemsworth
146,524,Natalie Portman
147,91606,Tom Hiddleston
148,6384,Keanu Reeves
149,4587,Halle Berry
150,6972,Ian McShane
151,16828,Chris Evans
152,3223,Robert Downey Jr.
153,1245,Scarlett Johansson
154,80602,Tyler Perry
155,1106869,Patrice Lovely
156,80611,Cassi Davis
157,500,Tom Cruise
158,5081,Emily Blunt
159,2039,Brendan Gleeson
160,1136406,Tom Holland
161,2232,Michael Keaton
162,3223,Robert Downey Jr.
163,11288,Robert Pattinson
164,1137,Juliette Binoche
165,37934,André Benjamin
166,37632,Eddie Redmayne
167,77795,Katherine Waterston
168,998225,Alison Sudol
169,190,Clint Eastwood
170,51329,Bradley Cooper
171,2975,Laurence Fishburne
172,4764,John C. Reilly
173,7404,Sarah Silverman
174,90633,Gal Gadot
175,73457,Chris Pratt
176,9281,Elizabeth Banks
177,21200,Will Arnett
178,12835,Vin Diesel
179,976,Jason Statham
180,18918,Dwayne Johnson
181,16828,Chris Evans
182,39459,Hayley Atwell
183,60898,Sebastian Stan
184,1303037,Taron Egerton
185,134,Jamie Foxx
186,77335,Ben Mendelsohn
187,5472,Colin Firth
188,2282,Ben Kingsley
189,87773,Aishwarya Rai Bachchan
190,74568,Chris Hemsworth
191,524,Natalie Portman
192,91606,Tom Hiddleston
193,1183808,Zhang Jin
194,543530,Dave Bautista
195,1185787,Liu Yan
196,5081,Emily Blunt
197,1179651,Lin-Manuel Miranda
198,17064,Ben Whishaw
199,1100,Arnold Schwarzenegger
200,17140,Abigail Breslin
201,20810,Joely Richardson
202,17838,Rami Malek
203,1220123,Gwilym Lee
204,1452045,Ben Hardy
205,2524,Tom Hardy
206,1812,Michelle Williams
207,53240,Riz Ahmed
208,71580,Benedict Cumberbatch
209,5294,Chiwetel Ejiofor
210,53714,Rachel McAdams
211,4764,John C. Reilly
212,73421,Joaquin Phoenix
213,131,Jake Gyllenhaal
214,2283,Stanley Tucci
215,934289,Kiernan Shipka
216,502,Miranda Otto
217,1742624,Louis Ashbourne Serkis
218,1182597,Denise Gough
219,221980,Nathan Stewart-Jarrett
220,7060,Martin Freeman
221,1327,Ian McKellen
222,30315,Richard Armitage
223,56322,Amy Poehler
224,52792,Maya Rudolph
225,32905,Rachel Dratch
226,13240,Mark Wahlberg
227,62220,Lauren Cohan
228,113732,Iko Uwais
229,1694278,Y'lan Noel
230,1568053,Lex Scott Davis
231,1376875,Joivan Wade
232,221581,Rebel Wilson
233,1813,Anne Hathaway
234,136127,Alex Sharp
235,1117313,John David Washington
236,1023139,Adam Driver
237,1606394,Laura Harrier
238,110,Viggo Mortensen
239,932967,Mahershala Ali
240,1817,Linda Cardellini
