id,adult,budget,genres,original_title,overview,popularity,poster_path,release_date,revenue,runtime,tagline,title,actor_1,actor_2,actor_3,director,file_path_1,file_path_2,file_path_3
81,N/A,25000000,9648,Suburbicon,"미국에서 가장 살기 좋은 마을로 꼽히는 서버비콘에서 남부러울 것 없는 삶을 살고 있는 가드너(맷 데이먼)는 아내 로즈(줄리안 무어)를 죽이고 쌍둥이 처제 마가렛과 새로운 삶을 계획한다. 완벽한 계획을 위해 마피아에게 청부살인을 의뢰한 가드너. 아내는 살해 당하지만 의외의 목격자로 인해 계획이 흐트러지기 시작한다. 집요하게 사건을 캐묻고 집으로 찾아오는 보험조사관 버드(오스카 아이작)와 마피아, 처제, 아들 니키(노아 주프)까지 가드너를 궁지로 몰아간다. 가드너는 예상치 못한 방향으로 흘러가는 사건을 수습하기 위해 노력하지만 사건은 걷잡을 수 없이 커져가는데...",28.037,/kKQin72zYQzbXWkzz0eRJ2N017h.jpg,2017-10-26,5775178,105,"완벽한 계획, 의외의 목격자, 감당할 수 없는 비밀",서버비콘,1892,1231,25072,Bethany Haynes,/jYmUvCPOKuP1pIRQ4bXSaH9MID4.jpg,/rjVXNb4T4Ah9URh1BhTvgNsDx3e.jpg,/qkZXRVC9GBqw02hqlWwX8Q6ELHm.jpg
82,N/A,5500000,12,47 Meters Down,"멕시코의 태평양 연안에서 특별한 휴가를 맞은 ‘리사’와 ‘케이트’. 잊을 수 없는 추억을 만들기 위해 익스트림 스포츠인 상어 체험(샤크 케이지)에 도전한다. 하지만 즐거움도 잠시, 자매가 올라 탄 케이지는 알 수 없는 사고로 순식간에 심해 47미터까지 추락하고 만다. 무시무시한 식인 상어 무리에 둘러싸인 '샤크 케이지' 속에서 산소 탱크로 버틸 수 있는 시간은 단 20분!",27.777,/ksuTOXBCMhAV184JrlAC5UFLuU4.jpg,2017-05-25,44235023,89,"47M 바닷속으로 추락한 '샤크 케이지'!남은 산소량 15%, 숨 쉴 수 있는 시간 단 20분!반드시 살아남아야 한다!",47 미터,86132,16855,76795,Johannes Roberts,/6j8B3BqTuNrpAJoa0JIc7nZzOUn.jpg,/eDI1jdUzmB7GBj5uuXK6QKlO0nD.jpg,/17SlEX7QNkTqUHIOmPXEiLVC6WC.jpg
83,N/A,58000000,35,Goosebumps,"책 속에 갇혀 있던 몬스터들이 깨어난다!  뉴욕에서 작은 마을로 이사 오게 된 잭(딜러 미네트)은 첫 날부터 옆집 소녀 헤나(오데야 러쉬)에게 호감을 느낀다. 하지만 전세계 베스트셀러 ‘구스범스’의 작가인 헤나의 아버지 스타인(잭 블랙)은 무언가를 숨기려는 듯 자신들의 집에 얼씬거리지 말라며 경고한다. 어느 날, 헤나의 비명 소리를 듣게 된 잭은 절친 챔프(라이언 리)를 불러 몰래 잠입하고, 그곳에서 자물쇠로 잠겨 있는 베스트셀러 소설 ‘구스범스’ 책들을 발견한다. 잭의 황당한 실수로 책이 펼쳐지자 책 속에 잠들었던 몬스터들이 하나 둘 깨어나기 시작하고 세상은 순식간에 쑥대밭이 되는데.... 몬스터들의 공격에 맞선 잭, 헤나, 챔프 그리고 스타인은 이 위기를 원상복구 시킬 수 있을까?  세상에서 가장 소름 돋는 판타지 어드벤처가 시작된다!",34.946,/jlMrW4orzPYutj9jdX6IWQFAJ7n.jpg,2015-08-05,158162788,103,잠든 책이 깨어난다!,구스범스,70851,112476,1121786,Rob Letterman,/itouI22hCgvU4psqC9DuwAOYuL2.jpg,/pOgXUXUJDhbRl6u1kPAb7ixzvsR.jpg,/vrm5zoYKKVhG8CsSjuJFs1zezVv.jpg
84,N/A,N/A,10749,Long Shot,첫사랑 베이비시터 ‘샬롯’(샤를리즈 테론)을 20년 만에 만난 실직 기자 ‘프레드’(세스 로건)가 현직 미 국무 장관이자 대선 후보가 된 그녀의 연설문 작가가 되면서 벌어지는 상상불가 케미를 그린 대유잼 로코버스터,32.185,/unUPqfHsgPjO9kiIO1NcDyxV82S.jpg,2019-05-02,N/A,125,이세상 '로코'가 아니다!,롱 샷,19274,6885,1371398,Jonathan Levine,/88r25ghJzVYKq0vaOApqEOZsQlD.jpg,/jYnQgKYACzQ06gRf15hRbyRkQsp.jpg,/l4wk3cJvkETnHfx3kxrKWdvAzeO.jpg
85,N/A,60000000,35,Vice,"대기업의 CEO에서 펜타곤 수장을 거쳐 미국 부통령까지 오른 딕 체니(크리스찬 베일). 재임 시절, 보이지 않는 이면에서 그가 내린 결정들은 세계의 흐름을 바꿔 버리고 뒤바뀐 역사는 다시는 회복될 수 없는 시간에 묻혀버렸다. 이제 그가 바꾼 글로벌한 역사의 변곡점들을 추적한다.",34.671,/bdOClE5efi9o2tNJFmV1gzLTbzm.jpg,2018-12-25,66266401,132,그로서 역사는 영원히 바뀌었다,바이스,3894,9273,4495,Adam McKay,/7TTlvADXSxg0yzlGTZFExmw4TSC.jpg,/n49difnnZ8e0CZTvulnMRoURdQj.jpg,/i3DEKIPlO7aX5TLADHvfyJOyEJ9.jpg
86,N/A,55000000,80,The Equalizer,"“법이 지켜주지 않는다면, 내가 한다!”  새벽 2시만 되면 어김없이 잠에서 깨는 로버트 맥콜(덴젤 워싱턴). 불면증으로 잠 못 드는 이 시간이면 그는 늘 책 한 권을 들고 카페로 향한다. 가족도 친구도 없는 그는 아내가 남기고 간 ‘죽기 전에 읽어야 할 소설 100권’을 모두 읽는 것이 유일한 삶의 목표다. 그런 그에게 어느 날, 어린 콜걸 테리(클로이 모레츠)가 말을 건넨다.  “무슨 책이에요?”  “…기사의 이야기지. 기사가 존재하지 않는 세상에 사는.”  “내가 사는 세상과 똑같네요...”  무료하게 전화를 기다리다 벨이 울리면 대기하고 있던 리무진에 오르는 테리와 매일 같은 공간에서 같은 시간을 공유하던 로버트는 묘한 동질감을 느끼며 가까워진다.  그러던 어느 날, 테리가 포주인 러시아 마피아에게 무자비하게 폭행을 당한 채로 발견되자 세상을 향한 분노가 폭발하고만 로버트는 마침내, 강자에겐 약하고 약자에겐 한없이 강한 이 세상을 향해 스스로 심판자가 되기로 결심하는데...  악한 세상을 향한 정의로운 폭력이 시작된다!",32.184,/xZcSumeUttIhQvu9xH3iYyB4Rz8.jpg,2014-09-24,192330738,132,"세상을 바로잡는 심판자, ‘이퀄라이저’",더 이퀄라이저,5292,20982,56734,Antoine Fuqua,/hEJ52KqwOmyRpcihs10h7xOwN7e.jpg,/bc35KYf2wmiMeKAjKUHh1V8BMym.jpg,/920qNlPDD7oTyqedEzwn9J8pjgr.jpg
87,N/A,88000000,27,The Predator,다른 종의 DNA를 이용해 더욱 영리하고 치명적으로 진화한 외계 빌런 ‘프레데터’. 더욱 무자비해진 그의 등장으로 지구는 위협에 휩싸이게 된다. 특수 부대원 출신 ‘퀸’(보이드 홀브룩)은 비밀 정부 미션에 참여 중인 진화생물학자 ‘케이시’(올리비아 문)를 만나게 되고 범죄 전력이 있는 전직 군인들과 함께 ‘프레데터’에 맞서 생존을 위한 사투를 벌이게 되는데…,34.515,/6WE2H8wNNtf0ktUoAaUcET3qi7U.jpg,2018-09-05,160542134,107,"사냥 당할 것인가, 살아남을 것인가 진짜 사냥은 지금부터다!",더 프레데터,467645,1650301,1277188,Fred Dekker,/f4E0ocYeToEuXvczZv6QArrMDJ.jpg,/x0VXCWSTny5JRvpgDnw5ptwQyhA.jpg,/51ieZv6oFQP04LcCmNA0A05wPEC.jpg
88,N/A,N/A,36,Outlaw King,"영국에 충성을 약속한 스코틀랜드 귀족 로버트 브루스. 굴종의 치욕을 씻기 위해, 그가 피를 나눈 형제들과 함께 반란을 일으킨다.",27.471,/rT49ousKUWN3dV7UlhaC9onTNdl.jpg,2018-11-09,N/A,122,종이 될 것인가. 왕이 될 것인가.,아웃로 킹,62064,27428,1373737,David Mackenzie,/tT59Hcfj4Jb3qlTsJDuT0Sn7COl.jpg,/ztZEe7wOMABM26mfaLBoolElHwb.jpg,/yuusjIfudAR1IJJlyTeaFqELwjm.jpg
89,N/A,50000000,35,Planes,"시골의 농약살포기 ‘더스티’는 세계 최고의 레이싱 챔피언을 꿈꾸는 비행기.
 높은 곳을 무서워하는 고소공포증에도 불구하고 꿈을 위해 용기를 낸 ‘더스티’는 친구들의 도움을 받아 세계 레이싱 대회에 도전한다.
 전 세계 최고의 레이서 비행기들이 출전하는 세계일주 비행대회에서
 과연, 시골에서 온 고소공포증 비행기 ‘더스티’는 레이싱 챔피언의 꿈을 이룰 수 있을까?",30.367,/wNhfsHrmDK66E6uHilpsm88riPs.jpg,2013-08-09,219788712,92,"""카""의 친구들이 생~생~하게 날아온다! 용감한 비행기 ‘더스티’와 함께 세계여행을 떠나요!",비행기,31837,59784,5576,Traci Balthazor,/jUe7RbnkLXGYC9MPhdN9cruy4L0.jpg,/y35onQ1O9X1I15R0VgveF28qhxF.jpg,/nNg6mO4phsq6DVHqh4yRTITPsxC.jpg
90,N/A,10000000,53,Texas Chainsaw 3D,"1974년에 일어난 첫번째 전기톱 대학살 사건 후, 소이여 가족을 의심한 마을 사람들은 그 집을 태워 소이여 가족 사람들을 모두 죽인다. 몇십년 후, 헤더라는 여성은 자신이 할머니로부터 텍사스의 땅을 물려받았다는 사실을 알게 된다. 헤더는 친구들과 함께 그녀의 뿌리를 찾아 텍사스로 간다. 그곳에서 그녀는 자신이 물려받은 집의 지하에 숨은 공포스러운 진실을 마주하게 되는데…",28.912,/p0kJOoNvwnWgmvKvL4GqlV3OPUV.jpg,2013-01-03,N/A,92,N/A,텍사스 전기톱 연쇄살인사건 3D,109513,1054724,27737,John Luessenhop,/syZp6erObU03jSEzc3Kvrtk9gV1.jpg,/l7hHzXb5cly5dlo6smdpUkOMaoI.jpg,/fB6x9b4WwMDI0o2LNgwHoa8R7m.jpg
